cs	popsize	wij	s	f	inithom	inithet	p	naa	ntrial	q	err
13	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	426	2930000	1.453925e-04	1.380580e-05
21	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	436	1860000	2.344086e-04	2.200065e-05
34	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	471	1500000	3.140000e-04	2.835353e-05
55	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	486	1060000	4.584906e-04	4.075386e-05
89	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	488	1090000	4.477064e-04	3.971387e-05
144	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	470	1050000	4.476190e-04	4.045931e-05
233	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	489	1060000	4.613208e-04	4.087939e-05
377	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	480	1110000	4.324324e-04	3.867762e-05
610	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	524	970000	5.402062e-04	4.624158e-05
987	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	0	1	0.000500	513	960000	5.343750e-04	4.623038e-05
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	844	430000	1.962791e-03	1.322916e-04
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	424	2330000	1.819742e-04	1.731983e-05
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	418	2780000	1.503597e-04	1.441341e-05
5	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	443	1680000	2.636905e-04	2.455225e-05
8	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	503	1030000	4.883495e-04	4.266746e-05
13	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	578	730000	7.917808e-04	6.452457e-05
21	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	671	560000	1.198214e-03	9.060850e-05
34	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	705	490000	1.438776e-03	1.061309e-04
55	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	734	480000	1.529167e-03	1.105428e-04
89	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	874	470000	1.859574e-03	1.231714e-04
144	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	848	440000	1.927273e-03	1.295933e-04
233	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	862	450000	1.915556e-03	1.277559e-04
377	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	820	420000	1.952381e-03	1.335025e-04
610	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	876	450000	1.946667e-03	1.287871e-04
987	1000	(1.000000,1.000000,1.000000)	0.000000	0.010000	1	2	0.002000	856	440000	1.945455e-03	1.302019e-04
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	480	1030000	4.660194e-04	4.168101e-05
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
13	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
21	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	24	100230000	2.394493e-07	9.579965e-08
